"Trait","genotype","predicted.values","standard.errors"
"objArea","",0.606,0.01
"objArea","G40001",0.604,0.039
"objArea","G40005",0.465,0.039
"objArea","G40006B",0.534,0.039
"objArea","G40008",0.376,0.039
"objArea","G40009",0.405,0.039
"objArea","G40010",0.45,0.039
"objArea","G40012",0.523,0.039
"objArea","G40013A",0.488,0.039
"objArea","G40013D",0.451,0.039
"objArea","G40018",0.566,0.039
"objArea","G40021",0.608,0.039
"objArea","G40022A",0.598,0.039
"objArea","G40023",0.581,0.039
"objArea","G40025",0.623,0.039
"objArea","G40028",0.596,0.039
"objArea","G40029",0.454,0.039
"objArea","G40030",0.606,0.039
"objArea","G40032",0.45,0.039
"objArea","G40034",0.549,0.039
"objArea","G40035",0.478,0.039
"objArea","G40036",0.451,0.039
"objArea","G40037",0.656,0.039
"objArea","G40037A",0.636,0.039
"objArea","G40038",0.599,0.039
"objArea","G40040",0.593,0.038
"objArea","G40041",0.635,0.039
"objArea","G40043",0.478,0.039
"objArea","G40057",0.644,0.039
"objArea","G40058",0.467,0.039
"objArea","G40060",0.458,0.039
"objArea","G40110",0.301,0.039
"objArea","G40111",0.32,0.039
"objArea","G40119",0.42,0.039
"objArea","G40120",0.623,0.039
"objArea","G40122",0.646,0.039
"objArea","G40125",0.613,0.039
"objArea","G40127",0.657,0.038
"objArea","G40128",0.668,0.038
"objArea","G40129",0.573,0.039
"objArea","G40130",0.593,0.039
"objArea","G40138",0.615,0.039
"objArea","G40140",0.656,0.039
"objArea","G40141",0.644,0.039
"objArea","G40142",0.568,0.039
"objArea","G40142A",0.557,0.039
"objArea","G40143",0.439,0.039
"objArea","G40144",0.438,0.038
"objArea","G40144A",0.54,0.039
"objArea","G40144B",0.557,0.039
"objArea","G40144C",0.564,0.039
"objArea","G40145",0.615,0.039
"objArea","G40146",0.595,0.038
"objArea","G40147",0.571,0.039
"objArea","G40148",0.576,0.039
"objArea","G40149",0.591,0.039
"objArea","G40150",0.584,0.039
"objArea","G40151",0.567,0.039
"objArea","G40152",0.445,0.039
"objArea","G40153",0.604,0.039
"objArea","G40154",0.48,0.039
"objArea","G40156",0.508,0.039
"objArea","G40157",0.637,0.039
"objArea","G40158A",0.59,0.039
"objArea","G40159",0.576,0.039
"objArea","G40160",0.654,0.039
"objArea","G40161",0.627,0.039
"objArea","G40162",0.62,0.039
"objArea","G40163",0.591,0.039
"objArea","G40164",0.572,0.039
"objArea","G40165",0.625,0.038
"objArea","G40172",0.529,0.039
"objArea","G40173",0.623,0.039
"objArea","G40173B",0.618,0.039
"objArea","G40173C",0.597,0.039
"objArea","G40174",0.675,0.039
"objArea","G40175",0.539,0.039
"objArea","G40176",0.576,0.039
"objArea","G40177A1",0.417,0.038
"objArea","G40177B1",0.425,0.039
"objArea","G40200",0.48,0.039
"objArea","G40229",0.623,0.039
"objArea","G40230",0.573,0.039
"objArea","G40234",0.584,0.039
"objArea","G40237",0.597,0.039
"objArea","G40237A",0.625,0.039
"objArea","G40238",0.577,0.039
"objArea","G40269",0.572,0.039
"objArea","G40272",0.556,0.039
